QS102EW - Population density,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,
,,
population,All usual residents,
units,Persons,
date,2011,
rural urban,Total,
,,
2011 ward,All usual residents,Density (number of persons per hectare)
E05001553 : Bank Top,"4,032",64.6
E05001554 : Central,"4,104",20.7
E05001555 : Cockerton East,"5,385",50.4
E05001556 : Cockerton West,"4,117",46.0
E05001557 : College,"4,163",43.0
E05001558 : Eastbourne,"6,516",33.0
E05001559 : Faverdale,"2,985",7.8
E05001560 : Harrowgate Hill,"5,997",29.1
E05001561 : Haughton East,"4,160",29.5
E05001562 : Haughton North,"3,341",35.1
E05001563 : Haughton West,"5,278",45.5
E05001564 : Heighington and Coniscliffe,"3,849",0.6
E05001565 : Hummersknott,"3,478",19.5
E05001566 : Hurworth,"3,640",1.5
E05001567 : Lascelles,"4,181",64.5
E05001568 : Lingfield,"3,782",13.7
E05001569 : Middleton St George,"4,650",3.1
E05001570 : Mowden,"3,708",36.3
E05001571 : North Road,"6,066",48.8
E05001572 : Northgate,"4,711",74.7
E05001573 : Park East,"6,312",41.8
E05001574 : Park West,"3,651",12.8
E05001575 : Pierremont,"5,450",79.5
E05001576 : Sadberge and Whessoe,"2,008",0.3
E05007955 : Annfield Plain,"7,774",9.7
E05007956 : Aycliffe East,"6,280",4.7
E05007957 : Aycliffe North,"7,751",23.0
E05007958 : Aycliffe West,"7,457",25.9
E05007959 : Barnard Castle East,"8,642",0.5
E05007960 : Barnard Castle West,"8,284",0.2
E05007961 : Belmont,"6,159",12.1
E05007962 : Benfieldside,"6,637",28.3
E05007963 : Bishop Auckland Town,"7,760",13.4
E05007964 : Blackhalls,"7,405",2.5
E05007965 : Brandon,"9,566",8.6
E05007966 : Burnopfield and Dipton,"7,935",5.4
E05007967 : Chester-le-Street North and East,"8,313",22.2
E05007968 : Chester-le-Street South,"8,236",7.7
E05007969 : Chester-le-Street West Central,"7,678",17.9
E05007970 : Chilton,"8,647",2.6
E05007971 : Consett North,"8,659",29.3
E05007972 : Coundon,"7,139",3.9
E05007973 : Coxhoe,"7,027",2.5
E05007974 : Craghead and South Moor,"7,669",7.9
E05007975 : Crook North and Tow Law,"7,671",2.2
E05007976 : Crook South,"8,252",12.6
E05007977 : Dawdon,"7,220",18.1
E05007978 : Deerness Valley,"9,357",2.5
E05007979 : Delves Lane and Consett South,"12,225",13.0
E05007980 : Deneside,"7,051",44.2
E05007981 : Durham South,"6,546",2.9
E05007982 : Easington,"7,693",3.4
E05007983 : Elvet,"10,175",15.1
E05007984 : Esh,"6,570",1.2
E05007985 : Evenwood,"8,114",0.6
E05007986 : Ferryhill,"8,942",10.3
E05007987 : Framwellgate Moor,"11,100",4.0
E05007988 : Gilesgate,"8,074",21.0
E05007989 : Horden,"8,087",17.0
E05007990 : Lanchester,"7,446",0.6
E05007991 : Leadgate and Medomsley,"9,514",3.7
E05007992 : Lumley,"7,537",4.7
E05007993 : Murton,"7,975",7.3
E05007994 : Neville's Cross,"9,940",13.0
E05007995 : Newton Hall,"7,323",43.4
E05007996 : Ouston and Urpeth,"7,490",5.9
E05007997 : Pelton,"8,250",8.9
E05007998 : Peterlee East,"7,234",22.1
E05007999 : Peterlee West,"7,438",35.8
E05008000 : Sacriston,"6,613",6.2
E05008001 : Seaham,"8,419",8.2
E05008002 : Sedgefield,"6,879",0.7
E05008003 : Sherburn,"9,108",2.7
E05008004 : Shildon East,"8,800",12.2
E05008005 : Shildon West,"7,020",5.8
E05008006 : Shotton,"9,222",4.1
E05008007 : Spennymoor and Middlestone,"9,648",7.7
E05008008 : Stanley,"9,053",13.1
E05008009 : Tanfield,"8,270",6.9
E05008010 : Thornley,"7,085",5.6
E05008011 : Trimdon,"7,370",3.7
E05008012 : Tudhoe,"8,976",9.7
E05008013 : Weardale,"8,063",0.2
E05008014 : West Auckland,"8,509",7.4
E05008015 : Willington,"9,147",3.2
E05008016 : Wingate,"10,302",5.2
E05008017 : Woodhouse Close,"8,516",37.3
E05001465 : Brus,"6,779",27.2
E05001466 : Burn Valley,"5,688",72.8
E05001467 : Dyke House,"4,952",54.2
E05001468 : Elwick,"2,061",0.5
E05001469 : Fens,"4,871",49.0
E05001470 : Foggy Furze,"4,497",66.4
E05001471 : Grange,"5,222",87.4
E05001472 : Greatham,"2,132",1.8
E05001473 : Hart,"6,913",29.5
E05001474 : Owton,"5,691",50.8
E05001475 : Park,"5,934",13.1
E05001476 : Rift House,"6,285",27.9
E05001477 : Rossmere,"6,353",14.3
E05001478 : St Hilda,"5,708",21.2
E05001479 : Seaton,"6,865",5.2
E05001480 : Stranton,"6,105",26.8
E05001481 : Throston,"5,972",40.1
E05001482 : Acklam,"6,027",29.7
E05001483 : Ayresome,"6,515",26.8
E05001484 : Beckfield,"4,772",44.5
E05001485 : Beechwood,"5,932",28.5
E05001486 : Brookfield,"5,712",17.4
E05001487 : Clairville,"5,346",45.2
E05001488 : Coulby Newham,"8,967",21.9
E05001489 : Gresham,"8,584",75.9
E05001490 : Hemlington,"5,954",40.4
E05001491 : Kader,"5,074",19.2
E05001492 : Ladgate,"5,583",44.1
E05001493 : Linthorpe,"9,711",57.9
E05001494 : North Ormesby and Brambles Farm,"6,268",36.5
E05001495 : Marton,"4,728",17.4
E05001496 : Marton West,"5,305",22.3
E05001497 : Middlehaven,"4,906",9.8
E05001498 : Nunthorpe,"4,866",7.3
E05001499 : Pallister,"6,069",38.7
E05001500 : Park,"5,919",55.5
E05001501 : Park End,"6,254",52.4
E05001502 : Stainton and Thornton,"2,890",5.8
E05001503 : Thorntree,"6,290",42.1
E05001504 : University,"6,740",87.6
E05008018 : Alnwick,"4,766",31.0
E05008019 : Amble,"4,565",4.4
E05008020 : Amble West with Warkworth,"4,172",1.0
E05008021 : Ashington Central,"4,968",45.2
E05008022 : Bamburgh,"4,846",0.4
E05008023 : Bedlington Central,"4,294",10.5
E05008024 : Bedlington East,"4,844",22.7
E05008025 : Bedlington West,"5,657",6.1
E05008026 : Bellingham,"4,074",0.0
E05008027 : Berwick East,"4,874",17.5
E05008028 : Berwick North,"4,477",2.1
E05008029 : Berwick West with Ord,"4,066",2.4
E05008030 : Bothal,"4,448",3.6
E05008031 : Bywell,"4,534",1.0
E05008032 : Chevington with Longhorseley,"5,596",0.6
E05008033 : Choppington,"4,792",8.4
E05008034 : College,"5,128",31.4
E05008035 : Corbridge,"4,191",0.8
E05008036 : Cowpen,"4,466",28.8
E05008037 : Cramlington East,"5,440",26.6
E05008038 : Cramlington Eastfield,"4,928",43.0
