KS601EW to KS603EW - Economic activity by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All usual residents aged 16 to 74,Economically active,Economically active: Unemployed,Economically inactive: Student (including full-time students)
E05001553 : Bank Top,"2,953","2,047",215,114
E05001554 : Central,"3,123","2,077",266,113
E05001555 : Cockerton East,"3,930","2,849",161,147
E05001556 : Cockerton West,"2,785","1,725",233,99
E05001557 : College,"2,970","2,218",103,132
E05001558 : Eastbourne,"4,611","3,166",288,174
E05001559 : Faverdale,"2,216","1,823",72,64
E05001560 : Harrowgate Hill,"4,462","3,323",181,141
E05001561 : Haughton East,"2,929","1,872",192,123
E05001562 : Haughton North,"2,537","1,775",101,77
E05001563 : Haughton West,"3,815","2,654",161,137
E05001564 : Heighington and Coniscliffe,"2,751","2,002",50,78
E05001565 : Hummersknott,"2,419","1,545",42,85
E05001566 : Hurworth,"2,707","1,812",81,88
E05001567 : Lascelles,"2,986","1,956",194,118
E05001568 : Lingfield,"2,678","1,780",123,85
E05001569 : Middleton St George,"3,433","2,508",96,103
E05001570 : Mowden,"2,555","1,605",63,77
E05001571 : North Road,"4,473","3,139",331,138
E05001572 : Northgate,"3,551","2,542",319,127
E05001573 : Park East,"4,512","3,072",369,230
E05001574 : Park West,"2,496","1,699",66,84
E05001575 : Pierremont,"4,189","3,151",252,139
E05001576 : Sadberge and Whessoe,"1,554","1,103",43,69
E05007955 : Annfield Plain,"5,759","3,776",345,192
E05007956 : Aycliffe East,"4,569","3,027",212,173
E05007957 : Aycliffe North,"5,698","3,932",209,187
E05007958 : Aycliffe West,"5,308","3,435",316,220
E05007959 : Barnard Castle East,"6,176","4,129",166,279
E05007960 : Barnard Castle West,"6,362","4,086",149,207
E05007961 : Belmont,"4,581","3,039",115,156
E05007962 : Benfieldside,"4,903","3,369",178,176
E05007963 : Bishop Auckland Town,"5,669","3,796",239,192
E05007964 : Blackhalls,"5,496","3,335",291,171
E05007965 : Brandon,"7,163","4,887",321,293
E05007966 : Burnopfield and Dipton,"5,958","4,120",201,197
E05007967 : Chester-le-Street North and East,"6,186","4,231",213,205
E05007968 : Chester-le-Street South,"6,189","4,359",190,252
E05007969 : Chester-le-Street West Central,"5,611","3,704",313,282
E05007970 : Chilton,"6,484","4,122",316,224
E05007971 : Consett North,"6,328","4,452",213,240
E05007972 : Coundon,"5,339","3,321",351,330
E05007973 : Coxhoe,"5,209","3,461",233,224
E05007974 : Craghead and South Moor,"5,686","3,730",424,220
E05007975 : Crook North and Tow Law,"5,636","3,708",294,229
E05007976 : Crook South,"6,104","3,892",371,211
E05007977 : Dawdon,"5,324","3,577",364,236
E05007978 : Deerness Valley,"7,139","4,757",361,251
E05007979 : Delves Lane and Consett South,"8,934","6,275",335,369
E05007980 : Deneside,"5,132","3,088",337,238
E05007981 : Durham South,"4,908","3,364",189,224
E05007982 : Easington,"5,619","3,529",290,201
E05007983 : Elvet,"9,586","2,491",86,"6,183"
E05007984 : Esh,"4,828","3,381",205,196
E05007985 : Evenwood,"6,107","3,999",226,192
E05007986 : Ferryhill,"6,639","4,168",347,257
E05007987 : Framwellgate Moor,"8,611","5,581",292,377
E05007988 : Gilesgate,"6,336","3,686",282,882
E05007989 : Horden,"5,945","3,395",404,242
E05007990 : Lanchester,"5,585","3,707",178,180
E05007991 : Leadgate and Medomsley,"7,127","4,717",304,246
E05007992 : Lumley,"5,554","3,654",205,263
E05007993 : Murton,"6,016","3,692",315,413
E05007994 : Neville's Cross,"7,995","4,066",118,"2,693"
E05007995 : Newton Hall,"5,589","3,755",158,190
E05007996 : Ouston and Urpeth,"5,766","4,140",222,193
E05007997 : Pelton,"6,154","4,107",216,219
E05007998 : Peterlee East,"5,225","3,039",329,252
E05007999 : Peterlee West,"5,417","3,523",283,262
E05008000 : Sacriston,"5,021","3,432",247,154
E05008001 : Seaham,"6,223","4,444",195,223
E05008002 : Sedgefield,"5,104","3,461",123,193
E05008003 : Sherburn,"6,779","4,668",256,213
E05008004 : Shildon East,"6,428","4,160",361,281
E05008005 : Shildon West,"5,119","3,337",318,164
E05008006 : Shotton,"6,776","4,255",330,266
E05008007 : Spennymoor and Middlestone,"7,160","4,766",325,272
E05008008 : Stanley,"6,567","4,132",435,217
E05008009 : Tanfield,"6,210","4,258",265,274
E05008010 : Thornley,"5,199","3,143",307,196
E05008011 : Trimdon,"5,497","3,495",236,240
E05008012 : Tudhoe,"6,642","4,264",331,243
E05008013 : Weardale,"6,082","4,020",204,192
E05008014 : West Auckland,"6,362","4,332",258,214
E05008015 : Willington,"6,755","4,394",384,260
E05008016 : Wingate,"7,789","5,170",333,351
E05008017 : Woodhouse Close,"6,133","3,768",399,265
E05001465 : Brus,"4,725","2,855",517,239
E05001466 : Burn Valley,"4,184","2,890",416,204
E05001467 : Dyke House,"3,610","2,082",421,192
E05001468 : Elwick,"1,528","1,066",39,60
E05001469 : Fens,"3,579","2,180",186,143
E05001470 : Foggy Furze,"3,372","2,258",272,124
E05001471 : Grange,"3,856","2,569",402,196
E05001472 : Greatham,"1,557","1,022",53,67
E05001473 : Hart,"5,076","3,702",184,186
E05001474 : Owton,"3,954","2,410",474,225
E05001475 : Park,"4,429","3,010",144,211
E05001476 : Rift House,"4,312","2,628",370,219
E05001477 : Rossmere,"4,560","2,988",325,170
E05001478 : St Hilda,"4,158","2,540",386,193
E05001479 : Seaton,"5,067","3,490",207,199
E05001480 : Stranton,"4,521","2,750",581,223
E05001481 : Throston,"4,316","3,073",217,191
E05001482 : Acklam,"4,394","3,125",179,199
E05001483 : Ayresome,"4,677","3,084",374,264
E05001484 : Beckfield,"3,461","2,117",317,139
E05001485 : Beechwood,"4,131","2,350",400,266
E05001486 : Brookfield,"4,330","2,837",147,145
E05001487 : Clairville,"3,878","2,465",375,199
E05001488 : Coulby Newham,"6,696","4,631",329,293
E05001489 : Gresham,"6,642","3,726",742,"1,046"
E05001490 : Hemlington,"4,288","2,652",369,179
E05001491 : Kader,"3,624","2,370",127,156
E05001492 : Ladgate,"3,976","2,663",288,194
E05001493 : Linthorpe,"7,022","4,967",356,492
E05001494 : North Ormesby and Brambles Farm,"4,450","2,658",555,214
E05001495 : Marton,"3,495","2,448",122,125
E05001496 : Marton West,"3,817","2,709",97,149
E05001497 : Middlehaven,"3,973","1,917",387,953
E05001498 : Nunthorpe,"3,626","2,371",123,179
