KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05001553 : Bank Top,"4,032","3,745",214,21
E05001554 : Central,"4,104","3,894",122,28
E05001555 : Cockerton East,"5,385","5,300",48,5
E05001556 : Cockerton West,"4,117","4,034",32,8
E05001557 : College,"4,163","4,026",57,8
E05001558 : Eastbourne,"6,516","6,298",85,47
E05001559 : Faverdale,"2,985","2,882",45,17
E05001560 : Harrowgate Hill,"5,997","5,870",53,15
E05001561 : Haughton East,"4,160","4,035",50,20
E05001562 : Haughton North,"3,341","3,266",38,6
E05001563 : Haughton West,"5,278","5,156",58,7
E05001564 : Heighington and Coniscliffe,"3,849","3,766",38,1
E05001565 : Hummersknott,"3,478","3,349",91,9
E05001566 : Hurworth,"3,640","3,580",27,2
E05001567 : Lascelles,"4,181","4,043",75,9
E05001568 : Lingfield,"3,782","3,618",61,26
E05001569 : Middleton St George,"4,650","4,529",61,8
E05001570 : Mowden,"3,708","3,559",76,10
E05001571 : North Road,"6,066","5,834",93,25
E05001572 : Northgate,"4,711","3,984",581,46
E05001573 : Park East,"6,312","6,032",133,23
E05001574 : Park West,"3,651","3,567",52,1
E05001575 : Pierremont,"5,450","5,262",95,9
E05001576 : Sadberge and Whessoe,"2,008","1,966",20,6
E05007955 : Annfield Plain,"7,774","7,657",77,8
E05007956 : Aycliffe East,"6,280","6,243",13,1
E05007957 : Aycliffe North,"7,751","7,641",60,6
E05007958 : Aycliffe West,"7,457","7,366",19,14
E05007959 : Barnard Castle East,"8,642","8,546",45,7
E05007960 : Barnard Castle West,"8,284","8,141",44,14
E05007961 : Belmont,"6,159","6,060",48,16
E05007962 : Benfieldside,"6,637","6,564",23,8
E05007963 : Bishop Auckland Town,"7,760","7,608",68,16
E05007964 : Blackhalls,"7,405","7,329",35,4
E05007965 : Brandon,"9,566","9,365",85,26
E05007966 : Burnopfield and Dipton,"7,935","7,850",31,6
E05007967 : Chester-le-Street North and East,"8,313","8,166",73,6
E05007968 : Chester-le-Street South,"8,236","8,120",59,11
E05007969 : Chester-le-Street West Central,"7,678","7,545",73,11
E05007970 : Chilton,"8,647","8,563",31,6
E05007971 : Consett North,"8,659","8,564",46,5
E05007972 : Coundon,"7,139","7,038",55,3
E05007973 : Coxhoe,"7,027","6,939",50,1
E05007974 : Craghead and South Moor,"7,669","7,601",21,11
E05007975 : Crook North and Tow Law,"7,671","7,604",23,4
E05007976 : Crook South,"8,252","8,157",44,10
E05007977 : Dawdon,"7,220","7,075",80,11
E05007978 : Deerness Valley,"9,357","9,225",64,14
E05007979 : Delves Lane and Consett South,"12,225","12,028",108,3
E05007980 : Deneside,"7,051","6,970",48,2
E05007981 : Durham South,"6,546","6,273",179,6
E05007982 : Easington,"7,693","7,629",27,4
E05007983 : Elvet,"10,175","8,941",796,90
E05007984 : Esh,"6,570","6,516",19,9
E05007985 : Evenwood,"8,114","8,058",24,2
E05007986 : Ferryhill,"8,942","8,834",45,11
E05007987 : Framwellgate Moor,"11,100","10,571",261,52
E05007988 : Gilesgate,"8,074","7,620",256,37
E05007989 : Horden,"8,087","7,965",68,6
E05007990 : Lanchester,"7,446","7,359",32,10
E05007991 : Leadgate and Medomsley,"9,514","9,418",45,6
E05007992 : Lumley,"7,537","7,432",44,1
E05007993 : Murton,"7,975","7,892",28,7
E05007994 : Neville's Cross,"9,940","9,105",439,66
E05007995 : Newton Hall,"7,323","7,042",175,15
E05007996 : Ouston and Urpeth,"7,490","7,381",73,2
E05007997 : Pelton,"8,250","8,128",82,2
E05007998 : Peterlee East,"7,234","7,136",42,7
E05007999 : Peterlee West,"7,438","7,374",30,2
E05008000 : Sacriston,"6,613","6,506",60,6
E05008001 : Seaham,"8,419","8,323",46,3
E05008002 : Sedgefield,"6,879","6,796",17,11
E05008003 : Sherburn,"9,108","8,994",63,14
E05008004 : Shildon East,"8,800","8,666",59,11
E05008005 : Shildon West,"7,020","6,947",23,9
E05008006 : Shotton,"9,222","9,073",84,5
E05008007 : Spennymoor and Middlestone,"9,648","9,557",38,10
E05008008 : Stanley,"9,053","8,983",42,5
E05008009 : Tanfield,"8,270","8,165",53,5
E05008010 : Thornley,"7,085","6,979",47,9
E05008011 : Trimdon,"7,370","7,301",24,5
E05008012 : Tudhoe,"8,976","8,866",46,17
E05008013 : Weardale,"8,063","7,979",38,6
E05008014 : West Auckland,"8,509","8,379",65,7
E05008015 : Willington,"9,147","9,060",43,3
E05008016 : Wingate,"10,302","10,139",87,11
E05008017 : Woodhouse Close,"8,516","8,417",33,5
E05001465 : Brus,"6,779","6,685",38,15
E05001466 : Burn Valley,"5,688","5,609",43,4
E05001467 : Dyke House,"4,952","4,843",71,9
E05001468 : Elwick,"2,061","1,971",61,11
E05001469 : Fens,"4,871","4,835",11,2
E05001470 : Foggy Furze,"4,497","4,431",28,8
E05001471 : Grange,"5,222","4,806",323,48
E05001472 : Greatham,"2,132","2,120",8,0
E05001473 : Hart,"6,913","6,787",81,3
E05001474 : Owton,"5,691","5,579",58,2
E05001475 : Park,"5,934","5,789",101,9
E05001476 : Rift House,"6,285","6,212",42,0
E05001477 : Rossmere,"6,353","6,276",45,1
E05001478 : St Hilda,"5,708","5,603",54,6
E05001479 : Seaton,"6,865","6,792",25,6
E05001480 : Stranton,"6,105","5,724",238,37
E05001481 : Throston,"5,972","5,837",77,9
E05001482 : Acklam,"6,027","5,467",456,37
E05001483 : Ayresome,"6,515","5,981",268,60
E05001484 : Beckfield,"4,772","4,627",38,46
E05001485 : Beechwood,"5,932","5,425",292,66
E05001486 : Brookfield,"5,712","5,478",145,6
E05001487 : Clairville,"5,346","4,826",338,41
E05001488 : Coulby Newham,"8,967","8,742",74,33
E05001489 : Gresham,"8,584","6,159","1,455",446
E05001490 : Hemlington,"5,954","5,824",28,36
E05001491 : Kader,"5,074","4,490",498,8
E05001492 : Ladgate,"5,583","5,200",209,65
E05001493 : Linthorpe,"9,711","7,685","1,505",61
E05001494 : North Ormesby and Brambles Farm,"6,268","5,789",245,85
E05001495 : Marton,"4,728","4,480",155,15
E05001496 : Marton West,"5,305","5,087",161,9
E05001497 : Middlehaven,"4,906","3,054","1,324",178
E05001498 : Nunthorpe,"4,866","4,606",157,27
E05001499 : Pallister,"6,069","5,888",39,62
E05001500 : Park,"5,919","4,786",860,53
