KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05001553 : Bank Top,"1,872",984,437,321,541
E05001554 : Central,"2,126",819,378,460,811
E05001555 : Cockerton East,"2,257","1,632",641,389,193
E05001556 : Cockerton West,"1,880",852,355,844,162
E05001557 : College,"1,851","1,399",683,89,344
E05001558 : Eastbourne,"2,758","1,625",641,648,446
E05001559 : Faverdale,"1,204",906,212,24,260
E05001560 : Harrowgate Hill,"2,511","2,107",922,73,311
E05001561 : Haughton East,"1,784",943,418,658,165
E05001562 : Haughton North,"1,544","1,151",576,263,118
E05001563 : Haughton West,"2,147","1,592",676,337,184
E05001564 : Heighington and Coniscliffe,"1,582","1,252",626,78,225
E05001565 : Hummersknott,"1,434","1,286",784,79,51
E05001566 : Hurworth,"1,604","1,252",685,138,186
E05001567 : Lascelles,"1,851",960,369,502,365
E05001568 : Lingfield,"1,706","1,102",566,381,205
E05001569 : Middleton St George,"1,884","1,504",606,113,243
E05001570 : Mowden,"1,680","1,453",893,52,137
E05001571 : North Road,"2,933","1,448",570,686,772
E05001572 : Northgate,"2,227",963,379,192,"1,042"
E05001573 : Park East,"2,727","1,361",571,699,630
E05001574 : Park West,"1,581","1,307",725,113,133
E05001575 : Pierremont,"2,667","1,722",724,29,878
E05001576 : Sadberge and Whessoe,860,669,373,60,111
E05007955 : Annfield Plain,"3,522","2,192",985,729,568
E05007956 : Aycliffe East,"2,787","1,730",740,798,228
E05007957 : Aycliffe North,"3,271","2,360",974,555,330
E05007958 : Aycliffe West,"3,335","1,665",699,"1,218",412
E05007959 : Barnard Castle East,"3,856","2,483","1,561",622,628
E05007960 : Barnard Castle West,"3,563","2,435","1,543",279,717
E05007961 : Belmont,"2,750","2,309","1,325",150,264
E05007962 : Benfieldside,"2,912","2,205","1,126",381,300
E05007963 : Bishop Auckland Town,"3,565","2,641","1,406",212,646
E05007964 : Blackhalls,"3,371","2,277","1,223",637,410
E05007965 : Brandon,"4,355","2,504","1,081","1,310",493
E05007966 : Burnopfield and Dipton,"3,543","2,620","1,118",571,315
E05007967 : Chester-le-Street North and East,"3,820","2,891","1,472",376,505
E05007968 : Chester-le-Street South,"3,597","2,789","1,221",551,218
E05007969 : Chester-le-Street West Central,"3,541","1,830",686,"1,320",333
E05007970 : Chilton,"3,950","2,432","1,141",866,601
E05007971 : Consett North,"3,978","2,572","1,102",655,690
E05007972 : Coundon,"3,151","1,870",901,674,578
E05007973 : Coxhoe,"3,080","2,103",946,677,274
E05007974 : Craghead and South Moor,"3,438","2,016",913,719,668
E05007975 : Crook North and Tow Law,"3,359","2,280","1,134",616,408
E05007976 : Crook South,"3,826","2,389","1,139",936,442
E05007977 : Dawdon,"3,115","1,876",803,621,579
E05007978 : Deerness Valley,"4,279","2,759","1,232",965,499
E05007979 : Delves Lane and Consett South,"5,275","3,566","1,365",956,701
E05007980 : Deneside,"3,104","1,783",854,962,290
E05007981 : Durham South,"2,879","1,974",887,527,336
E05007982 : Easington,"3,452","2,229","1,056",645,526
E05007983 : Elvet,"1,668",597,404,257,739
E05007984 : Esh,"2,878","2,030",953,475,320
E05007985 : Evenwood,"3,692","2,681","1,509",502,432
E05007986 : Ferryhill,"4,163","2,392","1,115","1,135",595
E05007987 : Framwellgate Moor,"4,487","3,071","1,343",835,529
E05007988 : Gilesgate,"3,616","1,710",972,"1,160",715
E05007989 : Horden,"3,628","2,095","1,025",904,558
E05007990 : Lanchester,"3,411","2,676","1,458",409,264
E05007991 : Leadgate and Medomsley,"4,248","3,098","1,465",639,456
E05007992 : Lumley,"3,213","2,297","1,026",573,305
E05007993 : Murton,"3,511","2,131",989,886,431
E05007994 : Neville's Cross,"3,546","2,219","1,254",170,"1,109"
E05007995 : Newton Hall,"3,353","2,652","1,368",346,324
E05007996 : Ouston and Urpeth,"3,268","2,574","1,120",286,381
E05007997 : Pelton,"3,645","2,666","1,233",625,301
E05007998 : Peterlee East,"3,081","1,727",752,973,313
E05007999 : Peterlee West,"3,081","2,003",748,729,300
E05008000 : Sacriston,"2,897","1,912",802,719,232
E05008001 : Seaham,"3,612","2,762","1,164",456,336
E05008002 : Sedgefield,"2,997","2,364","1,263",306,289
E05008003 : Sherburn,"4,118","2,780","1,200",986,302
E05008004 : Shildon East,"3,775","2,204",883,"1,090",432
E05008005 : Shildon West,"3,255","2,009",974,613,593
E05008006 : Shotton,"3,990","2,530","1,143",970,418
E05008007 : Spennymoor and Middlestone,"4,258","2,925","1,356",843,423
E05008008 : Stanley,"4,166","2,267","1,013","1,405",446
E05008009 : Tanfield,"3,573","2,489","1,042",570,473
E05008010 : Thornley,"3,084","1,921",918,784,311
E05008011 : Trimdon,"3,192","2,111",894,721,331
E05008012 : Tudhoe,"4,083","2,473","1,202","1,180",373
E05008013 : Weardale,"3,700","2,718","1,591",410,457
E05008014 : West Auckland,"3,739","2,655","1,174",585,450
E05008015 : Willington,"4,005","2,647","1,209",818,477
E05008016 : Wingate,"4,387","3,140","1,323",823,355
E05008017 : Woodhouse Close,"3,809","2,041",917,"1,293",413
E05001465 : Brus,"2,891","1,196",490,"1,358",283
E05001466 : Burn Valley,"2,522","1,563",679,151,779
E05001467 : Dyke House,"2,186",943,430,853,353
E05001468 : Elwick,830,671,338,57,92
E05001469 : Fens,"2,159","1,755","1,059",248,125
E05001470 : Foggy Furze,"2,044","1,283",608,395,341
E05001471 : Grange,"2,334","1,399",606,203,664
E05001472 : Greatham,952,699,368,153,88
E05001473 : Hart,"2,899","2,325",869,285,213
E05001474 : Owton,"2,516",905,349,"1,260",305
E05001475 : Park,"2,446","2,198","1,164",84,139
E05001476 : Rift House,"2,772","1,548",789,912,231
E05001477 : Rossmere,"2,792","1,662",713,832,246
E05001478 : St Hilda,"2,610","1,123",473,"1,063",370
E05001479 : Seaton,"2,862","2,353","1,167",237,233
E05001480 : Stranton,"3,133",811,375,959,"1,305"
