KS611EW to KS613EW - NS-SeC by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All categories: NS-SeC,"1. Higher managerial, administrative and professional occupations",7. Routine occupations,8. Never worked and long-term unemployed
E05001553 : Bank Top,"2,953",116,475,259
E05001554 : Central,"3,123",168,573,344
E05001555 : Cockerton East,"3,930",245,502,153
E05001556 : Cockerton West,"2,785",89,583,279
E05001557 : College,"2,970",569,122,70
E05001558 : Eastbourne,"4,611",183,881,359
E05001559 : Faverdale,"2,216",289,158,58
E05001560 : Harrowgate Hill,"4,462",298,594,150
E05001561 : Haughton East,"2,929",147,509,252
E05001562 : Haughton North,"2,537",202,315,87
E05001563 : Haughton West,"3,815",260,575,171
E05001564 : Heighington and Coniscliffe,"2,751",423,170,53
E05001565 : Hummersknott,"2,419",432,92,56
E05001566 : Hurworth,"2,707",330,223,80
E05001567 : Lascelles,"2,986",104,554,266
E05001568 : Lingfield,"2,678",120,475,160
E05001569 : Middleton St George,"3,433",479,269,143
E05001570 : Mowden,"2,555",300,189,59
E05001571 : North Road,"4,473",192,840,388
E05001572 : Northgate,"3,551",251,567,388
E05001573 : Park East,"4,512",322,765,450
E05001574 : Park West,"2,496",465,115,50
E05001575 : Pierremont,"4,189",308,577,237
E05001576 : Sadberge and Whessoe,"1,554",197,115,36
E05007955 : Annfield Plain,"5,759",260,"1,149",422
E05007956 : Aycliffe East,"4,569",232,789,223
E05007957 : Aycliffe North,"5,698",511,764,249
E05007958 : Aycliffe West,"5,308",224,"1,048",385
E05007959 : Barnard Castle East,"6,176",573,716,233
E05007960 : Barnard Castle West,"6,362",687,644,382
E05007961 : Belmont,"4,581",508,390,99
E05007962 : Benfieldside,"4,903",487,538,182
E05007963 : Bishop Auckland Town,"5,669",458,738,310
E05007964 : Blackhalls,"5,496",251,"1,154",363
E05007965 : Brandon,"7,163",519,"1,229",363
E05007966 : Burnopfield and Dipton,"5,958",522,713,248
E05007967 : Chester-le-Street North and East,"6,186",593,755,203
E05007968 : Chester-le-Street South,"6,189",737,601,190
E05007969 : Chester-le-Street West Central,"5,611",312,963,371
E05007970 : Chilton,"6,484",328,"1,265",432
E05007971 : Consett North,"6,328",401,947,284
E05007972 : Coundon,"5,339",240,"1,068",447
E05007973 : Coxhoe,"5,209",369,979,239
E05007974 : Craghead and South Moor,"5,686",190,"1,211",500
E05007975 : Crook North and Tow Law,"5,636",310,957,374
E05007976 : Crook South,"6,104",304,"1,103",451
E05007977 : Dawdon,"5,324",221,"1,028",471
E05007978 : Deerness Valley,"7,139",594,"1,176",425
E05007979 : Delves Lane and Consett South,"8,934",519,"1,580",471
E05007980 : Deneside,"5,132",169,"1,138",439
E05007981 : Durham South,"4,908",661,685,215
E05007982 : Easington,"5,619",303,"1,092",401
E05007983 : Elvet,"9,586",471,238,247
E05007984 : Esh,"4,828",390,734,209
E05007985 : Evenwood,"6,107",437,"1,003",278
E05007986 : Ferryhill,"6,639",259,"1,439",435
E05007987 : Framwellgate Moor,"8,611",827,"1,356",561
E05007988 : Gilesgate,"6,336",598,924,377
E05007989 : Horden,"5,945",149,"1,517",557
E05007990 : Lanchester,"5,585",588,631,195
E05007991 : Leadgate and Medomsley,"7,127",604,967,392
E05007992 : Lumley,"5,554",530,665,229
E05007993 : Murton,"6,016",257,"1,104",431
E05007994 : Neville's Cross,"7,995","1,528",187,146
E05007995 : Newton Hall,"5,589",679,436,143
E05007996 : Ouston and Urpeth,"5,766",476,646,209
E05007997 : Pelton,"6,154",536,851,266
E05007998 : Peterlee East,"5,225",157,"1,138",522
E05007999 : Peterlee West,"5,417",224,"1,010",334
E05008000 : Sacriston,"5,021",324,883,294
E05008001 : Seaham,"6,223",503,859,227
E05008002 : Sedgefield,"5,104",741,424,117
E05008003 : Sherburn,"6,779",598,"1,074",285
E05008004 : Shildon East,"6,428",385,"1,163",455
E05008005 : Shildon West,"5,119",198,"1,061",388
E05008006 : Shotton,"6,776",304,"1,445",474
E05008007 : Spennymoor and Middlestone,"7,160",443,"1,270",368
E05008008 : Stanley,"6,567",279,"1,320",630
E05008009 : Tanfield,"6,210",441,951,296
E05008010 : Thornley,"5,199",218,"1,158",442
E05008011 : Trimdon,"5,497",246,"1,055",334
E05008012 : Tudhoe,"6,642",399,"1,298",366
E05008013 : Weardale,"6,082",652,717,238
E05008014 : West Auckland,"6,362",391,"1,119",333
E05008015 : Willington,"6,755",422,"1,031",491
E05008016 : Wingate,"7,789",581,"1,322",369
E05008017 : Woodhouse Close,"6,133",228,"1,314",614
E05001465 : Brus,"4,725",107,"1,092",612
E05001466 : Burn Valley,"4,184",208,586,437
E05001467 : Dyke House,"3,610",68,782,528
E05001468 : Elwick,"1,528",205,107,33
E05001469 : Fens,"3,579",192,533,177
E05001470 : Foggy Furze,"3,372",158,680,321
E05001471 : Grange,"3,856",183,592,469
E05001472 : Greatham,"1,557",107,230,47
E05001473 : Hart,"5,076",453,671,153
E05001474 : Owton,"3,954",70,925,569
E05001475 : Park,"4,429",606,284,137
E05001476 : Rift House,"4,312",98,873,417
E05001477 : Rossmere,"4,560",169,835,384
E05001478 : St Hilda,"4,158",130,808,468
E05001479 : Seaton,"5,067",405,577,164
E05001480 : Stranton,"4,521",184,825,778
E05001481 : Throston,"4,316",289,632,225
E05001482 : Acklam,"4,394",369,418,173
E05001483 : Ayresome,"4,677",134,890,492
E05001484 : Beckfield,"3,461",72,828,395
E05001485 : Beechwood,"4,131",187,788,694
E05001486 : Brookfield,"4,330",277,549,145
E05001487 : Clairville,"3,878",124,726,521
E05001488 : Coulby Newham,"6,696",451,839,418
E05001489 : Gresham,"6,642",136,"1,055","1,154"
E05001490 : Hemlington,"4,288",136,780,454
E05001491 : Kader,"3,624",273,377,156
E05001492 : Ladgate,"3,976",188,663,330
E05001493 : Linthorpe,"7,022",551,677,537
E05001494 : North Ormesby and Brambles Farm,"4,450",80,"1,057",795
E05001495 : Marton,"3,495",383,327,84
E05001496 : Marton West,"3,817",515,289,95
E05001497 : Middlehaven,"3,973",71,509,729
E05001498 : Nunthorpe,"3,626",561,197,108
E05001499 : Pallister,"4,018",74,975,565
E05001500 : Park,"4,325",233,595,492
E05001501 : Park End,"4,272",60,"1,005",608
E05001502 : Stainton and Thornton,"2,130",179,288,168
E05001503 : Thorntree,"4,225",57,"1,060",812
E05001504 : University,"5,101",129,532,948
