KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05001553 : Bank Top,"3,342","1,087",440,531
E05001554 : Central,"3,437","1,052",490,603
E05001555 : Cockerton East,"4,328","1,014",695,855
E05001556 : Cockerton West,"3,187","1,134",523,368
E05001557 : College,"3,409",415,293,"1,624"
E05001558 : Eastbourne,"5,009","1,641",787,654
E05001559 : Faverdale,"2,264",207,301,819
E05001560 : Harrowgate Hill,"4,826","1,097",719,932
E05001561 : Haughton East,"3,253","1,087",465,516
E05001562 : Haughton North,"2,828",645,377,650
E05001563 : Haughton West,"4,317","1,240",622,783
E05001564 : Heighington and Coniscliffe,"3,037",435,352,"1,170"
E05001565 : Hummersknott,"2,956",429,263,"1,244"
E05001566 : Hurworth,"3,029",519,339,983
E05001567 : Lascelles,"3,267","1,195",450,416
E05001568 : Lingfield,"3,087","1,090",423,401
E05001569 : Middleton St George,"3,827",683,434,"1,307"
E05001570 : Mowden,"3,135",597,339,988
E05001571 : North Road,"4,938","1,511",726,710
E05001572 : Northgate,"3,776",959,574,782
E05001573 : Park East,"4,862","1,479",679,931
E05001574 : Park West,"3,006",445,265,"1,336"
E05001575 : Pierremont,"4,519",884,695,"1,058"
E05001576 : Sadberge and Whessoe,"1,718",334,194,583
E05007955 : Annfield Plain,"6,369","2,085",947,923
E05007956 : Aycliffe East,"5,148","1,496",766,840
E05007957 : Aycliffe North,"6,345","1,496",836,"1,518"
E05007958 : Aycliffe West,"5,969","1,890",963,789
E05007959 : Barnard Castle East,"7,198","1,801",870,"2,030"
E05007960 : Barnard Castle West,"7,139","1,579",993,"2,078"
E05007961 : Belmont,"5,292","1,037",657,"1,766"
E05007962 : Benfieldside,"5,436","1,004",681,"1,647"
E05007963 : Bishop Auckland Town,"6,556","1,680",807,"1,649"
E05007964 : Blackhalls,"6,188","2,183",912,950
E05007965 : Brandon,"7,824","2,266","1,057","1,666"
E05007966 : Burnopfield and Dipton,"6,618","1,558",912,"1,728"
E05007967 : Chester-le-Street North and East,"6,968","1,556",921,"1,927"
E05007968 : Chester-le-Street South,"6,845","1,345",948,"1,900"
E05007969 : Chester-le-Street West Central,"6,323","1,989","1,038","1,014"
E05007970 : Chilton,"7,165","2,261",996,"1,138"
E05007971 : Consett North,"7,156","1,864",942,"1,569"
E05007972 : Coundon,"5,856","2,072",801,850
E05007973 : Coxhoe,"5,703","1,654",827,"1,178"
E05007974 : Craghead and South Moor,"6,153","2,099",997,789
E05007975 : Crook North and Tow Law,"6,257","1,935",858,"1,097"
E05007976 : Crook South,"6,810","2,060",960,"1,098"
E05007977 : Dawdon,"5,797","1,911",929,835
E05007978 : Deerness Valley,"7,779","2,096","1,092","1,830"
E05007979 : Delves Lane and Consett South,"9,757","2,640","1,469","1,795"
E05007980 : Deneside,"5,841","2,302",843,658
E05007981 : Durham South,"5,443","1,172",592,"1,896"
E05007982 : Easington,"6,309","2,205",866,"1,052"
E05007983 : Elvet,"9,958",537,307,"2,283"
E05007984 : Esh,"5,387","1,360",745,"1,322"
E05007985 : Evenwood,"6,848","2,069",918,"1,420"
E05007986 : Ferryhill,"7,467","2,541","1,101",989
E05007987 : Framwellgate Moor,"9,427","2,204","1,252","2,735"
E05007988 : Gilesgate,"6,866","1,849",723,"2,103"
E05007989 : Horden,"6,585","2,646","1,042",628
E05007990 : Lanchester,"6,311","1,388",718,"2,036"
E05007991 : Leadgate and Medomsley,"8,010","2,067","1,026","2,033"
E05007992 : Lumley,"6,145","1,429",867,"1,524"
E05007993 : Murton,"6,682","2,219","1,003","1,013"
E05007994 : Neville's Cross,"8,629",524,303,"4,079"
E05007995 : Newton Hall,"6,222","1,070",719,"2,123"
E05007996 : Ouston and Urpeth,"6,229","1,313",949,"1,422"
E05007997 : Pelton,"6,870","1,764","1,021","1,601"
E05007998 : Peterlee East,"5,811","2,259",901,626
E05007999 : Peterlee West,"5,901","1,861",968,780
E05008000 : Sacriston,"5,465","1,496",821,"1,067"
E05008001 : Seaham,"7,046","1,742",982,"1,641"
E05008002 : Sedgefield,"5,715",973,536,"2,237"
E05008003 : Sherburn,"7,461","2,080",952,"1,959"
E05008004 : Shildon East,"6,975","2,042",966,"1,153"
E05008005 : Shildon West,"5,838","1,948",875,759
E05008006 : Shotton,"7,420","2,527","1,114","1,072"
E05008007 : Spennymoor and Middlestone,"7,902","2,261","1,095","1,495"
E05008008 : Stanley,"7,389","2,716","1,118",915
E05008009 : Tanfield,"6,819","1,759",971,"1,366"
E05008010 : Thornley,"5,805","2,212",840,758
E05008011 : Trimdon,"6,016","1,884",881,955
E05008012 : Tudhoe,"7,391","2,427","1,014","1,317"
E05008013 : Weardale,"6,853","1,619",849,"2,069"
E05008014 : West Auckland,"6,912","2,034",875,"1,385"
E05008015 : Willington,"7,433","2,196",977,"1,498"
E05008016 : Wingate,"8,451","2,163","1,186","1,783"
E05008017 : Woodhouse Close,"6,775","2,533",937,893
E05001465 : Brus,"5,232","2,054",835,507
E05001466 : Burn Valley,"4,571","1,163",703,906
E05001467 : Dyke House,"3,866","1,555",612,301
E05001468 : Elwick,"1,710",325,172,588
E05001469 : Fens,"4,119","1,175",533,688
E05001470 : Foggy Furze,"3,675","1,184",509,541
E05001471 : Grange,"4,177","1,092",577,798
E05001472 : Greatham,"1,819",502,242,377
E05001473 : Hart,"5,560","1,109",667,"1,466"
E05001474 : Owton,"4,332","1,870",700,301
E05001475 : Park,"5,001",799,514,"1,792"
E05001476 : Rift House,"5,045","1,989",734,515
E05001477 : Rossmere,"5,142","1,822",671,698
E05001478 : St Hilda,"4,625","1,771",651,583
E05001479 : Seaton,"5,684","1,338",659,"1,298"
E05001480 : Stranton,"4,915","1,866",669,670
E05001481 : Throston,"4,755","1,144",609,"1,034"
E05001482 : Acklam,"4,977",913,630,"1,441"
E05001483 : Ayresome,"4,996","1,683",784,612
E05001484 : Beckfield,"3,952","1,715",592,347
E05001485 : Beechwood,"4,568","1,809",706,569
E05001486 : Brookfield,"4,908","1,186",647,999
E05001487 : Clairville,"4,182","1,419",615,640
E05001488 : Coulby Newham,"7,327","1,921","1,002","1,565"
E05001489 : Gresham,"6,986","2,188",838,"1,171"
E05001490 : Hemlington,"4,605","1,510",772,553
E05001491 : Kader,"4,215","1,013",521,977
