QS611EW - Approximated Social Grade,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All Household Reference Persons aged 16 to 64,,,,
units,Persons,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
E05001553 : Bank Top,"1,433",139,419,352,523
E05001554 : Central,"1,627",182,444,348,653
E05001555 : Cockerton East,"1,659",260,511,428,460
E05001556 : Cockerton West,"1,285",89,305,281,610
E05001557 : College,"1,350",600,439,170,141
E05001558 : Eastbourne,"2,119",193,529,549,848
E05001559 : Faverdale,"1,076",313,452,191,120
E05001560 : Harrowgate Hill,"1,879",271,615,524,469
E05001561 : Haughton East,"1,304",148,329,314,513
E05001562 : Haughton North,"1,124",186,393,257,288
E05001563 : Haughton West,"1,583",234,486,403,460
E05001564 : Heighington and Coniscliffe,"1,121",395,389,209,128
E05001565 : Hummersknott,840,359,298,113,70
E05001566 : Hurworth,"1,044",291,362,229,162
E05001567 : Lascelles,"1,411",106,352,356,597
E05001568 : Lingfield,"1,140",109,308,292,431
E05001569 : Middleton St George,"1,438",449,509,268,212
E05001570 : Mowden,886,270,347,167,102
E05001571 : North Road,"2,262",183,586,576,917
E05001572 : Northgate,"1,897",260,560,342,735
E05001573 : Park East,"2,187",292,537,497,861
E05001574 : Park West,953,414,327,132,80
E05001575 : Pierremont,"2,143",344,725,402,672
E05001576 : Sadberge and Whessoe,593,164,197,150,82
E05007955 : Annfield Plain,"2,548",224,610,681,"1,033"
E05007956 : Aycliffe East,"1,891",215,528,461,687
E05007957 : Aycliffe North,"2,444",476,772,506,690
E05007958 : Aycliffe West,"2,344",207,535,533,"1,069"
E05007959 : Barnard Castle East,"2,498",556,683,628,631
E05007960 : Barnard Castle West,"2,388",584,678,669,457
E05007961 : Belmont,"1,737",466,637,313,321
E05007962 : Benfieldside,"2,110",463,701,459,487
E05007963 : Bishop Auckland Town,"2,451",472,727,534,718
E05007964 : Blackhalls,"2,332",229,593,650,860
E05007965 : Brandon,"3,262",533,965,714,"1,050"
E05007966 : Burnopfield and Dipton,"2,540",541,841,554,604
E05007967 : Chester-le-Street North and East,"2,614",593,898,530,593
E05007968 : Chester-le-Street South,"2,575",641,931,484,519
E05007969 : Chester-le-Street West Central,"2,535",330,728,556,921
E05007970 : Chilton,"2,827",314,714,757,"1,042"
E05007971 : Consett North,"2,840",385,923,640,892
E05007972 : Coundon,"2,386",232,543,602,"1,009"
E05007973 : Coxhoe,"2,228",373,604,574,677
E05007974 : Craghead and South Moor,"2,614",208,603,661,"1,142"
E05007975 : Crook North and Tow Law,"2,410",320,627,694,769
E05007976 : Crook South,"2,738",306,721,692,"1,019"
E05007977 : Dawdon,"2,403",221,596,550,"1,036"
E05007978 : Deerness Valley,"3,181",566,855,734,"1,026"
E05007979 : Delves Lane and Consett South,"4,019",504,"1,156",995,"1,364"
E05007980 : Deneside,"2,143",150,526,495,972
E05007981 : Durham South,"2,118",616,636,369,497
E05007982 : Easington,"2,472",289,667,559,957
E05007983 : Elvet,"1,231",349,704,79,99
E05007984 : Esh,"2,113",417,591,510,595
E05007985 : Evenwood,"2,569",418,632,790,729
E05007986 : Ferryhill,"2,927",224,681,764,"1,258"
E05007987 : Framwellgate Moor,"3,279",811,"1,063",624,781
E05007988 : Gilesgate,"2,681",579,828,390,884
E05007989 : Horden,"2,647",144,594,595,"1,314"
E05007990 : Lanchester,"2,247",591,650,508,498
E05007991 : Leadgate and Medomsley,"3,063",573,915,674,901
E05007992 : Lumley,"2,297",494,781,463,559
E05007993 : Murton,"2,523",257,699,555,"1,012"
E05007994 : Neville's Cross,"2,758","1,252","1,180",151,175
E05007995 : Newton Hall,"2,303",667,924,375,337
E05007996 : Ouston and Urpeth,"2,439",446,801,599,593
E05007997 : Pelton,"2,533",462,763,591,717
E05007998 : Peterlee East,"2,268",152,548,480,"1,088"
E05007999 : Peterlee West,"2,275",206,578,547,944
E05008000 : Sacriston,"2,137",321,616,515,685
E05008001 : Seaham,"2,586",490,869,584,643
E05008002 : Sedgefield,"2,036",672,659,413,292
E05008003 : Sherburn,"3,018",648,861,600,909
E05008004 : Shildon East,"2,912",356,762,665,"1,129"
E05008005 : Shildon West,"2,272",231,511,613,917
E05008006 : Shotton,"2,948",303,725,767,"1,153"
E05008007 : Spennymoor and Middlestone,"3,124",465,823,781,"1,055"
E05008008 : Stanley,"3,024",247,731,731,"1,315"
E05008009 : Tanfield,"2,682",424,810,666,782
E05008010 : Thornley,"2,190",215,512,560,903
E05008011 : Trimdon,"2,303",223,619,635,826
E05008012 : Tudhoe,"2,870",373,750,653,"1,094"
E05008013 : Weardale,"2,460",583,622,691,564
E05008014 : West Auckland,"2,846",419,749,761,917
E05008015 : Willington,"2,973",460,729,722,"1,062"
E05008016 : Wingate,"3,273",517,967,771,"1,018"
E05008017 : Woodhouse Close,"2,872",238,549,679,"1,406"
E05001465 : Brus,"2,205",123,419,555,"1,108"
E05001466 : Burn Valley,"2,034",266,501,424,843
E05001467 : Dyke House,"1,692",70,339,413,870
E05001468 : Elwick,584,196,189,118,81
E05001469 : Fens,"1,350",169,356,393,432
E05001470 : Foggy Furze,"1,542",143,365,374,660
E05001471 : Grange,"1,839",228,469,421,721
E05001472 : Greatham,629,105,200,171,153
E05001473 : Hart,"2,154",461,695,523,475
E05001474 : Owton,"2,019",81,368,438,"1,132"
E05001475 : Park,"1,653",563,574,311,205
E05001476 : Rift House,"1,820",124,378,480,838
E05001477 : Rossmere,"2,026",178,527,558,763
E05001478 : St Hilda,"1,908",149,452,490,817
E05001479 : Seaton,"1,980",377,642,506,455
E05001480 : Stranton,"2,517",228,608,465,"1,216"
E05001481 : Throston,"1,839",328,546,462,503
E05001482 : Acklam,"1,688",345,562,417,364
E05001483 : Ayresome,"2,004",152,439,482,931
E05001484 : Beckfield,"1,513",55,297,388,773
E05001485 : Beechwood,"1,856",160,414,350,932
E05001486 : Brookfield,"1,585",235,522,443,385
E05001487 : Clairville,"1,739",142,400,381,816
E05001488 : Coulby Newham,"2,917",478,910,667,862
E05001489 : Gresham,"3,194",156,959,446,"1,633"
E05001490 : Hemlington,"1,980",132,441,452,955
E05001491 : Kader,"1,257",246,405,320,286
E05001492 : Ladgate,"1,704",181,482,400,641
E05001493 : Linthorpe,"2,939",625,952,566,796
E05001494 : North Ormesby and Brambles Farm,"2,230",81,380,453,"1,316"
E05001495 : Marton,"1,391",324,475,336,256
